iata,icao,name,location,time
BBV,DIGN,Nero-Mer Airport,"Grand-Béréby, Ivory Coast",UTC±00:00
BBW,KBBW,Broken Bow Municipal Airport,"Broken Bow, Nebraska, United States",UTC−06:00
BBX,KLOM,Wings Field (FAA: LOM),"Philadelphia, Pennsylvania, United States",UTC−05:00
BBY,FEFM,Bambari Airport,"Bambari, Central African Republic",UTC+01:00
BBZ,FLZB,Zambezi Airport,"Zambezi, Zambia",UTC+02:00
BCA,MUBA,Gustavo Rizo Airport,"Baracoa, Cuba",UTC−05:00
BCB,KBCB,Virginia Tech Montgomery Executive Airport,"Blacksburg, Virginia, United States",UTC−05:00
BCC,,Bear Creek 3 Airport (FAA: Z48),"Bear Creek, Alaska, United States",UTC−09:00
BCD,RPVB,Bacolod–Silay International Airport,"Bacolod, Philippines",UTC+08:00
BCE,KBCE,Bryce Canyon Airport,"Bryce Canyon, Utah, United States",UTC−07:00
BCF,FEGU,Bouca Airport,"Bouca, Central African Republic",UTC+01:00
BCG,,Bemichi Airport,"Kumaka, Guyana",UTC−04:00
BCH,WPEC,Baucau Airport,"Baucau, East Timor",UTC+09:00
BCI,YBAR,Barcaldine Airport,"Barcaldine, Queensland, Australia",UTC+10:00
BCK,YBWR,Bolwarra Airport,"Bolwarra, Queensland, Australia",UTC+10:00
BCL,MRBC,Barra del Colorado Airport,"Barra del Colorado, Costa Rica",UTC−06:00
BCM,LRBC,Bacău International Airport,"Bacău, Romania",UTC+02:00
BCN,LEBL,Barcelona–El Prat Airport,"Barcelona, Catalonia, Spain",UTC+01:00
BCO,HABC,Baco Airport (Jinka Airport),"Jinka, Ethiopia",UTC+03:00
BCP,AYBC,Bambu Airport,"Bambu, Papua New Guinea",UTC+10:00
BCQ,,Brak Airport,"Brak, Libya",UTC+02:00
BCR,SWNK,Novo Campo Airport,"Boca do Acre, Amazonas, Brazil",UTC−05:00
BCS,,Southern Seaplane Airport (FAA: 65LA),"Belle Chasse, Louisiana, United States",UTC−06:00
BCT,KBCT,Boca Raton Airport,"Boca Raton, Florida, United States",UTC−05:00
BCU,,Bauchi State Airport,"Bauchi, Nigeria",UTC+01:00
BCV,,Hector Silva Airstrip,"Belmopan, Belize",UTC−06:00
BCW,,Benguerra Island Airport,"Benguerra Island, Mozambique",UTC+02:00
BCX,UWUB,Beloretsk Airport,"Beloretsk, Republic of Bashkortostan, Russia",UTC+05:00
BCY,HABU,Bulchi Airport,"Bulchi, Ethiopia",UTC+03:00
BCZ,,Bickerton Island Airport,"Bickerton Island, Northern Territory, Australia",UTC+09:30
BDA,TXKF,L.F. Wade International Airport,"Hamilton, British Overseas Territory of Bermuda",UTC−04:00
BDB,YBUD,Bundaberg Airport,"Bundaberg, Queensland, Australia",UTC+10:00
BDC,SNBC,Barra do Corda Airport,"Barra do Corda, Maranhão, Brazil",UTC−03:00
BDD,YBAU,Badu Island Airport,"Badu Island, Queensland, Australia",UTC+10:00
BDE,KBDE,Baudette International Airport,"Baudette, Minnesota, United States",UTC−06:00
BDF,,Rinkenberger RLA Airport (FAA: 3IS8),"Bradford, Illinois, United States",UTC−06:00
BDG,KBDG,Blanding Municipal Airport,"Blanding, Utah, United States",UTC−07:00
BDH,OIBL,Bandar Lengeh Airport,"Bandar Lengeh, Iran",UTC+03:30
BDI,FSSB,Bird Island Airport,"Bird Island, Seychelles",UTC+04:00
BDJ,WAOO,Syamsudin Noor Airport,"Banjarmasin, Indonesia",UTC+08:00
BDK,DIBU,Soko Airport,"Bondoukou, Ivory Coast",UTC±00:00
BDL,KBDL,Bradley International Airport,"Windsor Locks / Hartford, Connecticut, United States",UTC−05:00
BDM,LTBG,Bandırma Airport,"Bandırma, Turkey",UTC+03:00
BDN,OPTH,Talhar Airport,"Badin, Pakistan",UTC+05:00
BDO,WICC,Husein Sastranegara International Airport,"Bandung, Indonesia",UTC+07:00
BDP,VNCG,Bhadrapur Airport (Chandragadhi Airport),"Bhadrapur / Chandragadhi, Nepal",UTC+05:45
BDQ,VABO,Vadodara Airport (Civil Airport Harni),"Vadodara, Gujarat, India",UTC+05:30
BDR,KBDR,Igor I. Sikorsky Memorial Airport,"Bridgeport, Connecticut, United States",UTC−05:00
BDS,LIBR,Brindisi – Salento Airport,"Brindisi, Apulia, Italy",UTC+01:00
BDT,FZFD,Gbadolite Airport,"Gbadolite, Democratic Republic of the Congo",UTC+01:00
BDU,ENDU,Bardufoss Airport,"Bardufoss, Norway",UTC+01:00
BDV,FZRB,Moba Airport,"Moba, Democratic Republic of the Congo",UTC+02:00
BDW,YBDF,Bedford Downs Airport,"Bedford Downs, Western Australia, Australia",UTC+08:00
BDX,,Broadus Airport[1],"Broadus, Montana, United States",UTC−07:00
BDY,,Bandon State Airport (FAA: S05),"Bandon, Oregon, United States",UTC−08:00
